"CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/"
"Gross Domestic Product (GDP): All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"05081","Little River, AR",483049
"05083","Logan, AR",445778
"05085","Lonoke, AR",1424427
"05087","Madison, AR",378704
"05089","Marion, AR",504791
"05091","Miller, AR",1359083
"05093","Mississippi, AR",2533112
"05095","Monroe, AR",211904
"05097","Montgomery, AR",145482
"05099","Nevada, AR",227491
"05101","Newton, AR",109136
"05103","Ouachita, AR",626111
"05105","Perry, AR",144861
"05107","Phillips, AR",556088
"05109","Pike, AR",241064
"05111","Poinsett, AR",612676
"05113","Polk, AR",519793
"05115","Pope, AR",3000065
"05117","Prairie, AR",217282
"05119","Pulaski, AR",30018440
"05121","Randolph, AR",520906
"05123","St. Francis, AR",766955
"05125","Saline, AR",2665345
"05127","Scott, AR",253332
"05129","Searcy, AR",185816
"05131","Sebastian, AR",6849356
"05133","Sevier, AR",441423
"05135","Sharp, AR",310594
"05137","Stone, AR",231608
"05139","Union, AR",2498460
"05141","Van Buren, AR",367296
"05143","Washington, AR",12175479
"05145","White, AR",2296205
"05147","Woodruff, AR",238797
"05149","Yell, AR",583842
"06001","Alameda, CA",139313240
"06003","Alpine, CA",112415
"06005","Amador, CA",1848108
"06007","Butte, CA",9461454
"06009","Calaveras, CA",1579783
"06011","Colusa, CA",1629003
"06013","Contra Costa, CA",77484753
"06015","Del Norte, CA",943173
"06017","El Dorado, CA",8294970
"06019","Fresno, CA",45932182
"06021","Glenn, CA",1349202
"06023","Humboldt, CA",5877389
"06025","Imperial, CA",8566860
"06027","Inyo, CA",1362365
"06029","Kern, CA",45185758
"06031","Kings, CA",6857784
"06033","Lake, CA",2213607
"06035","Lassen, CA",1257511
"06037","Los Angeles, CA",747523558
"06039","Madera, CA",6544075
"06041","Marin, CA",31516100
"06043","Mariposa, CA",822575
"06045","Mendocino, CA",3786796
"06047","Merced, CA",9635342
"06049","Modoc, CA",440344
"06051","Mono, CA",1073767
"06053","Monterey, CA",27120792
"06055","Napa, CA",11239687
"06057","Nevada, CA",4562074
"06059","Orange, CA",259513508
"06061","Placer, CA",24529112
"06063","Plumas, CA",1079902
"06065","Riverside, CA",93250990
"06067","Sacramento, CA",96667833
"06069","San Benito, CA",2535609
"06071","San Bernardino, CA",97049499
"06073","San Diego, CA",240411072
"06075","San Francisco, CA",201547346
"06077","San Joaquin, CA",32517528
"06079","San Luis Obispo, CA",18010542
"06081","San Mateo, CA",138474105
"06083","Santa Barbara, CA",29697904
"06085","Santa Clara, CA",357975788
"06087","Santa Cruz, CA",15844973
"06089","Shasta, CA",8698893
"06091","Sierra, CA",97334
"06093","Siskiyou, CA",1836670
"06095","Solano, CA",27618325
"06097","Sonoma, CA",31247324
"06099","Stanislaus, CA",24203279
"06101","Sutter, CA",3840213
"06103","Tehama, CA",2297948
"06105","Trinity, CA",443245
"06107","Tulare, CA",18980160
"06109","Tuolumne, CA",2600257
"06111","Ventura, CA",53218972
"06113","Yolo, CA",15919993
"06115","Yuba, CA",3544698
"08001","Adams, CO*",29137249
"08003","Alamosa, CO",765052
"08005","Arapahoe, CO",49628815
"08007","Archuleta, CO",547344
"08009","Baca, CO",183328
"08011","Bent, CO",147235
"08013","Boulder, CO*",29682206
"08014","Broomfield, CO*",7624104
"08015","Chaffee, CO",889873
"08017","Cheyenne, CO",158887
"08019","Clear Creek, CO",536997
"08021","Conejos, CO",211334
"08023","Costilla, CO",102964
"08025","Crowley, CO",123203
"08027","Custer, CO",152064
"08029","Delta, CO",943244
"08031","Denver, CO",80351429
"08033","Dolores, CO",93149
"08035","Douglas, CO",19939267
"08037","Eagle, CO",4196982
"08039","Elbert, CO",791772
"08041","El Paso, CO",38471561
"08043","Fremont, CO",1541983
"08045","Garfield, CO",3410295
"08047","Gilpin, CO",572696
"08049","Grand, CO",1039863
"08051","Gunnison, CO",1079264
"08053","Hinsdale, CO",39045
"08055","Huerfano, CO",281954
"08057","Jackson, CO",103274
"08059","Jefferson, CO*",34067334
"08061","Kiowa, CO",88678
"08063","Kit Carson, CO",430928
"08065","Lake, CO",316084
"08067","La Plata, CO",2950994
"08069","Larimer, CO",21593417
"08071","Las Animas, CO",548165
"08073","Lincoln, CO",429769
"08075","Logan, CO",1064586
"08077","Mesa, CO",6776747
"08079","Mineral, CO",57847
"08081","Moffat, CO",1083773
"08083","Montezuma, CO",1095127
"08085","Montrose, CO",1724181
"08087","Morgan, CO",1566694
"08089","Otero, CO",642203
"08091","Ouray, CO",251691
"08093","Park, CO",496097
"08095","Phillips, CO",206144
"08097","Pitkin, CO",2256451
"08099","Prowers, CO",476734
"08101","Pueblo, CO",6493531
"08103","Rio Blanco, CO",484285
"08105","Rio Grande, CO",486850
"08107","Routt, CO",2040265
"08109","Saguache, CO",214519
"08111","San Juan, CO",59434
"08113","San Miguel, CO",667080
"08115","Sedgwick, CO",85248
"08117","Summit, CO",2755438
"08119","Teller, CO",1030816
"08121","Washington, CO",193598
"08123","Weld, CO*",16710143
"08125","Yuma, CO",493372
"09001","Fairfield, CT",92249059
"09003","Hartford, CT",83845669
"09005","Litchfield, CT",8566317
"09007","Middlesex, CT",9606510
"09009","New Haven, CT",53026077
"09011","New London, CT",18177091
"09013","Tolland, CT",5858975
"09015","Windham, CT",5093230
"10001","Kent, DE",8973785
"10003","New Castle, DE",52904007
"10005","Sussex, DE",13908700
"11001","District of Columbia, DC",144554763
"12001","Alachua, FL",15025446
"12003","Baker, FL",746274
"12005","Bay, FL",9090224
"12007","Bradford, FL",694441
"12009","Brevard, FL",27692408
"12011","Broward, FL",111171413
"12013","Calhoun, FL",275432
"12015","Charlotte, FL",6072767
"12017","Citrus, FL",4551508
"12019","Clay, FL",5816227
"12021","Collier, FL",21082482
"12023","Columbia, FL",2348906
"12027","DeSoto, FL",1043216
"12029","Dixie, FL",333186
"12031","Duval, FL",70802325
"12033","Escambia, FL",16775506
"12035","Flagler, FL",3158635
"12037","Franklin, FL",398851
"12039","Gadsden, FL",1394507
"12041","Gilchrist, FL",466051
"12043","Glades, FL",381951
"12045","Gulf, FL",466369
"12047","Hamilton, FL",557159
"12049","Hardee, FL",1102097
"12051","Hendry, FL",1363555
"12053","Hernando, FL",4673865
"12055","Highlands, FL",2705451
"12057","Hillsborough, FL",96832749
"12059","Holmes, FL",429303
"12061","Indian River, FL",7020432
"12063","Jackson, FL",1434852
"12065","Jefferson, FL",306129
"12067","Lafayette, FL",153806
"12069","Lake, FL",11148040
"12071","Lee, FL",34536218
"12073","Leon, FL",15826460
"12075","Levy, FL",988471
"12077","Liberty, FL",215687
"12079","Madison, FL",449678
"12081","Manatee, FL",16600436
"12083","Marion, FL",11373344
"12085","Martin, FL",8272639
"12086","Miami-Dade, FL",164519091
"12087","Monroe, FL",5260914
"12089","Nassau, FL",2990571
"12091","Okaloosa, FL",13046376
"12093","Okeechobee, FL",1838657
"12095","Orange, FL",97472030
"12097","Osceola, FL",11679997
"12099","Palm Beach, FL",89360985
"12101","Pasco, FL",14704099
"12103","Pinellas, FL",53058827
"12105","Polk, FL",29339334
"12107","Putnam, FL",2394942
"12109","St. Johns, FL",10667932
"12111","St. Lucie, FL",10384875
"12113","Santa Rosa, FL",5194832
"12115","Sarasota, FL",22885387
"12117","Seminole, FL",23796158
"12119","Sumter, FL",4663965
"12121","Suwannee, FL",1204370
"12123","Taylor, FL",726394
"12125","Union, FL",342062
"12127","Volusia, FL",19649448
"12129","Wakulla, FL",806371
"12131","Walton, FL",3631071
"12133","Washington, FL",638343
"13001","Appling, GA",1742236
"13003","Atkinson, GA",253660
"13005","Bacon, GA",395691
"13007","Baker, GA",68982
"13009","Baldwin, GA",1408986
"13011","Banks, GA",386862
"13013","Barrow, GA",2446906
"13015","Bartow, GA",5158726
"13017","Ben Hill, GA",568345
"13019","Berrien, GA",398418
"13021","Bibb, GA",8569320
"13023","Bleckley, GA",255812
"13025","Brantley, GA",266586
"13027","Brooks, GA",486342
"13029","Bryan, GA",1134992
"13031","Bulloch, GA",2648786
"13033","Burke, GA",3395322
"13035","Butts, GA",748982
"13037","Calhoun, GA",131999
"13039","Camden, GA",1943710
"13043","Candler, GA",295075
"13045","Carroll, GA",4866042
"13047","Catoosa, GA",1614500
"13049","Charlton, GA",228198
"13051","Chatham, GA",18578674
"13053","Chattahoochee, GA",1723603
"13055","Chattooga, GA",531709
"13057","Cherokee, GA",8641831
"13059","Clarke, GA",8008007
"13061","Clay, GA",106776
"13063","Clayton, GA",14278871
"13065","Clinch, GA",287848
"13067","Cobb, GA",56186301
"13069","Coffee, GA",1549248
"13071","Colquitt, GA",1585794
"13073","Columbia, GA",4486234
"13075","Cook, GA",413455
"13077","Coweta, GA",5236483
"13079","Crawford, GA",157534
"13081","Crisp, GA",915192
"13083","Dade, GA",422238
"13085","Dawson, GA",926989
"13087","Decatur, GA",878941
"13089","DeKalb, GA",42318939
"13091","Dodge, GA",450471
"13093","Dooly, GA",392812
"13095","Dougherty, GA",4632629
"13097","Douglas, GA",4912010
"13099","Early, GA",530054
"13101","Echols, GA",48352
"13103","Effingham, GA",2258635
"13105","Elbert, GA",681832
"13107","Emanuel, GA",732639
"13109","Evans, GA",387037
"13111","Fannin, GA",792393
"13113","Fayette, GA",5570258
"13115","Floyd, GA",4094372
"13117","Forsyth, GA",10844190
"13119","Franklin, GA",838259
"13121","Fulton, GA",183095901
"13123","Gilmer, GA",874899
"13125","Glascock, GA",35960
"13127","Glynn, GA",4132649
"13129","Gordon, GA",2345210
"13131","Grady, GA",679219
"13133","Greene, GA",769799
"13135","Gwinnett, GA",51246313
"13137","Habersham, GA",1538556
"13139","Hall, GA",11879587
"13141","Hancock, GA",178772
"13143","Haralson, GA",858773
"13145","Harris, GA",569659
"13147","Hart, GA",846739
"13149","Heard, GA",1270669
"13151","Henry, GA",7215273
"13153","Houston, GA",7442706
"13155","Irwin, GA",227396
"13157","Jackson, GA",3537924
"13159","Jasper, GA",314347
"13161","Jeff Davis, GA",457164
"13163","Jefferson, GA",569211
"13165","Jenkins, GA",168770
"13167","Johnson, GA",133024
"13169","Jones, GA",491107
"13171","Lamar, GA",464673
"13173","Lanier, GA",146692
"13175","Laurens, GA",1861540
"13177","Lee, GA",781580
"13179","Liberty, GA",3861236
"13181","Lincoln, GA",141118
"13183","Long, GA",189002
"13185","Lowndes, GA",5328103
"13187","Lumpkin, GA",947883
"13189","McDuffie, GA",698187
"13191","McIntosh, GA",263702
"13193","Macon, GA",366581
"13195","Madison, GA",516132
"13197","Marion, GA",117062
"13199","Meriwether, GA",626314
"13201","Miller, GA",230063
"13205","Mitchell, GA",803332
"13207","Monroe, GA",1300018
"13209","Montgomery, GA",170950
"13211","Morgan, GA",935254
"13213","Murray, GA",1311847
"13215","Muscogee, GA",11264737
"13217","Newton, GA",3210142
"13219","Oconee, GA",1678575
"13221","Oglethorpe, GA",273656
"13223","Paulding, GA",3450917
"13225","Peach, GA",956032
"13227","Pickens, GA",1050745
"13229","Pierce, GA",462025
"13231","Pike, GA",378150
"13233","Polk, GA",1224041
"13235","Pulaski, GA",304313
"13237","Putnam, GA",613768
"13239","Quitman, GA",39683
"13241","Rabun, GA",637323
"13243","Randolph, GA",195286
"13245","Richmond, GA",12715694
"13247","Rockdale, GA",4124951
"13249","Schley, GA",119153
"13251","Screven, GA",333104
"13253","Seminole, GA",308298
"13255","Spalding, GA",2199208
"13257","Stephens, GA",958039
"13259","Stewart, GA",139506
"13261","Sumter, GA",1100073
"13263","Talbot, GA",113544
"13265","Taliaferro, GA",27445
"13267","Tattnall, GA",592645
"13269","Taylor, GA",216954
"13271","Telfair, GA",296935
"13273","Terrell, GA",230365
"13275","Thomas, GA",2241683
"13277","Tift, GA",2073366
"13279","Toombs, GA",1039493
"13281","Towns, GA",394828
"13283","Treutlen, GA",108932
"13285","Troup, GA",3669460
"13287","Turner, GA",228435
"13289","Twiggs, GA",274918
"13291","Union, GA",893246
"13293","Upson, GA",732640
"13295","Walker, GA",1503400
"13297","Walton, GA",2865649
"13299","Ware, GA",1480875
"13301","Warren, GA",170717
"13303","Washington, GA",646173
"13305","Wayne, GA",1098600
"13307","Webster, GA",65442
"13309","Wheeler, GA",107436
"13311","White, GA",925169
"13313","Whitfield, GA",5783239
"13315","Wilcox, GA",151163
"13317","Wilkes, GA",287037
"13319","Wilkinson, GA",541022
"13321","Worth, GA",373638
"15001","Hawaii, HI",8429090
"15003","Honolulu, HI",62123839
"15007","Kauai, HI",3627285
"15901","Maui + Kalawao, HI*",8704375
"16001","Ada, ID",29837199
"16003","Adams, ID",135128
"16005","Bannock, ID",3004193
"16007","Bear Lake, ID",191488
"16009","Benewah, ID",375427
"16011","Bingham, ID",1540383
"16013","Blaine, ID",1592768
"16015","Boise, ID",193507
"16017","Bonner, ID",1699808
"16019","Bonneville, ID",6355838
"16021","Boundary, ID",423405
"16023","Butte, ID",1290269
"16025","Camas, ID",75111
"16027","Canyon, ID",7053777
"16029","Caribou, ID",690647
"16031","Cassia, ID",1418295
"16033","Clark, ID",46390
"16035","Clearwater, ID",370741
"16037","Custer, ID",180630
"16039","Elmore, ID",1287726
